message,label
Тантрика 111,not spam
111 диана,not spam
❤️,not spam
❤️,not spam
спасибо за собрание,not spam
💚,not spam
❤️,not spam
❤️,not spam
Блиннннн,not spam
❤️,not spam
"Привет добро пожаловать, подключайся завтра на группу в 19.00",not spam
спасибо,not spam
Оксана зависая,not spam
Первый раз у вас,not spam
"Всем привет. Настя, наркоманка.",not spam
"Всем привет 
Оксана зависимая",not spam
Всем привет . Дарья наркоманка 13 дней,not spam
Дарья 111,not spam
Катя 111,not spam
настя 111,not spam
Анжелика 111,not spam
Вика1111,not spam
"Тема: как вы прорабатываете чувство стыда и страха? Бывший мч в общем чате (чат анонимный) писал гадости, провоцировал.",not spam
Юля 111,not spam
"Поддержка тебе Настя 🙏🏻 Срыв это часть выздоровления,возвращайся ❤️",not spam
Тема: опыт торчания на мужском внимании. Как прорабатывали?,not spam
"Настяяя ❤️ хорошо, что ты вернулась!",not spam
"Поддержка тебе, Насть",not spam
"Поддержка тебе, Насть 🫂",not spam
Очень тебя понимаю Насть,not spam
"Тоже сорвалась на 1,1 месяц",not spam
8 дней назад,not spam
Я на 8 месяцах после отношений,not spam
А сейчас? Поддержка тебе тоже,not spam
Настя 111,not spam
Я на 9мес  сорвалась на отношениях,not spam
Поддержка девочки🥹🫰🥰❤️💋,not spam
"Ведущая, не болей🫂❤️",not spam
Поэтому отношения на начальных стадиях это  и в правду не есть хорошо🙄,not spam
это правда :),not spam
"А ещё это не хорошо, потому что себя не знаешь, и выбираешь того, кто тебе не подходит",not spam
Это очень точное описание 👍🏻 реально так,not spam
"Сперва с собой нужно разобраться, а потом уже строить что то с другим человеком",not spam
"Добрый вечер, снова здравствуйте.
Зависимая, 2 месяца чистая.
Но тяжело.
Впервые узнала и нашла вас, какие действия тут нужны, должны быть?!
Рассказывать голосом пока стесняюсь 😐😄",not spam
"Не надо стесняться, занимай очередь, буду рада тебя послушать",not spam
И я буду рада послушать!!,not spam
В чат имя и 111,not spam
"Добрый вечер занимай очередь) тут все зависимые девочки,будем рады тебя послушать 🤗",not spam
"Честно, пока не готова..
Можно я хотя бы несколько дней послушаю, почитаю что тут как.
Может и соберусь с силой рассказать.
Да и пока неудобно, детки не спят 😢😒",not spam
Конечно можно,not spam
"Спасибо, что ты с нами)",not spam
Очень тепло тут))),not spam
"Если хочешь могу тебе выслать информацию для новичка ,чтоб почитала ,а так конечно оставайся с нами,слушай,задавай вопросы ❤️",not spam
"Да, давайте пожалуйста",not spam
А я?,not spam
Когда?,not spam
После Дарьи,not spam
Спасибо,not spam
Потерялась,not spam
Бывает),not spam
Жиза,not spam
Группа идет ?,not spam
Девочки сейчас что-то было?,not spam
Да,not spam
"Да, был троль )",not spam
Тролли,not spam
Мне страшно стало,not spam
Сабина 111,not spam
"Не бойся , мы с тобой ❤️",not spam
